hora,temp_C,P_idle_W
17:15:23,39.73,9.153104
17:15:47,39.61,9.152870
17:16:11,39.12,9.152761
17:16:35,39.24,9.152689
17:17:00,39.24,9.152682
17:17:24,39.24,9.152202
17:17:48,39.37,9.151965
17:18:16,39.37,9.152060
17:18:41,39.49,9.152298
17:19:05,39.73,9.152429
17:19:29,39.86,9.153064
17:19:54,39.98,9.153327
17:20:18,39.98,9.153664
17:20:44,39.98,9.153829
17:21:08,40.35,9.154607
17:21:32,40.47,9.154939
17:21:56,40.60,9.155314
17:22:20,40.60,9.155743
17:22:43,40.60,9.156122
17:23:07,40.72,9.156423
17:23:31,40.72,9.157003
17:23:50,40.84,9.158923
17:24:14,40.60,9.159092
17:24:40,40.96,9.159262
17:25:05,40.60,9.159725
17:25:31,40.96,9.159520
17:25:55,40.72,9.159461
17:26:20,41.09,9.159472
17:26:43,40.96,9.159527
17:27:14,41.09,9.159910
17:27:38,40.96,9.160201
17:28:03,41.33,9.160540
17:28:28,41.21,9.161043
17:28:51,41.09,9.161012
17:29:15,41.21,9.161432
17:29:40,41.33,9.161391
17:29:59,41.33,9.161284
17:30:24,41.21,9.161279
17:30:49,40.96,9.161472
17:31:13,41.09,9.161339
17:47:39,37.89,9.117864
17:48:04,38.14,9.130073
17:48:28,38.63,9.129997
17:48:52,38.63,9.130593
17:49:16,38.87,9.132202
17:49:40,39.12,9.135460
17:50:04,39.24,9.135835
17:50:30,39.37,9.135823
17:50:54,39.49,9.133704
17:51:17,39.49,9.136846
17:51:41,39.61,9.137862
17:52:05,39.37,9.138189
17:52:30,39.49,9.138123
17:52:54,39.86,9.138424
17:53:24,39.86,9.138615
17:53:47,40.10,9.138455
17:54:11,39.86,9.138669
17:54:35,39.98,9.138453
17:55:00,39.98,9.138787
17:55:24,40.23,9.139154
17:55:49,39.98,9.139311
17:56:12,40.23,9.139057
17:56:37,40.35,9.139244
17:57:02,40.35,9.139282
17:57:32,40.35,9.139458
18:32:16,38.14,9.125104
18:32:41,38.63,9.126064
18:33:05,38.87,9.126748
18:33:24,39.00,9.127046
18:33:48,39.00,9.127194
18:34:11,39.37,9.126399
18:34:36,39.61,9.126860
18:35:00,39.86,9.127463
18:35:24,39.73,9.127255
18:35:48,39.61,9.127605
18:36:12,39.86,9.127383
18:36:36,39.98,9.126693
18:37:01,39.98,9.126920
18:37:26,40.10,9.126858
18:37:51,40.10,9.126955
18:38:15,40.23,9.127010
18:38:39,40.35,9.126908
18:39:04,39.86,9.126975
18:39:29,40.10,9.393342
18:39:53,40.47,9.407820
18:40:17,40.47,9.412272
18:40:43,40.72,9.414183
18:41:10,40.72,9.414241
18:41:29,40.96,9.414447
18:41:54,40.60,9.414827
18:42:19,40.96,9.414369
18:42:43,40.72,9.414523
18:43:08,41.09,9.414612
18:43:32,41.46,9.414550
18:43:56,41.21,9.414862
18:44:20,41.21,9.414804
18:44:45,41.33,9.414793
18:45:05,41.46,9.110526
18:45:30,41.46,9.110942
18:46:31,41.33,9.110805
19:00:59,38.50,9.100075
19:01:23,38.75,9.109221
19:01:47,39.24,9.109470
19:02:12,39.49,9.109500
19:02:37,39.73,9.109576
19:02:57,39.61,9.109455
19:03:21,39.98,9.109559
19:03:46,40.10,9.109471
19:04:10,40.10,9.109897
19:04:34,40.23,9.109756
19:04:59,40.23,9.109746
19:05:24,40.23,9.109910
19:05:49,40.23,9.109626
19:06:13,39.98,9.109668
19:06:37,40.10,9.109877
19:07:01,40.35,9.109765
19:07:25,40.35,9.109620
19:07:50,40.23,9.109648
19:08:15,40.35,9.109751
19:08:40,40.47,9.109760
19:09:04,40.47,9.109897
19:09:28,40.60,9.109908
19:09:53,40.23,9.109872
19:10:17,40.35,9.109753
19:10:41,40.10,9.109729
19:11:06,40.23,9.109401
19:11:30,40.10,9.109436
19:11:54,40.10,9.109518
19:12:19,39.73,9.109434
19:12:44,39.61,9.109493
19:13:14,40.10,9.109394
19:13:40,39.86,9.109326
19:14:06,39.98,9.109329
19:14:30,39.98,9.109290
19:14:54,39.98,9.109097
19:15:18,40.10,9.109482
19:15:42,40.10,9.109182
19:16:11,40.10,9.109055
19:16:30,40.10,9.109352
19:16:56,40.23,9.109364
19:17:20,40.23,9.109398
19:17:41,40.23,9.109225
19:18:05,40.35,9.109221
19:18:32,40.35,9.109118
19:18:58,40.35,9.109410
19:19:22,40.23,9.109386
19:19:46,40.35,9.109199
19:20:11,40.35,9.108971
19:20:36,40.47,9.111509
19:21:02,40.35,9.111790
19:21:28,40.72,9.111967
19:21:53,40.60,9.111803
19:22:18,40.72,9.111975
19:22:43,40.72,9.112261
19:23:09,40.60,9.112562
19:23:34,40.72,9.112714
19:23:59,40.60,9.112756
19:24:24,40.47,9.112610
19:24:48,40.35,9.112512
19:25:12,40.47,9.112536
