categoria,repeticion,delta_W,P_idle_W,n_alto,n_bajo
div,1,0.004494,5.060830999999999,571753,86487
alu,1,0.020058,5.062132,84133,85064
alu,2,0.020078,5.0608640000000005,84140,85056
mul,1,0.009201,5.060775,84134,85062
mul,2,0.009188,5.061626,84132,85064
mulh,1,0.005008,5.061419,84740,85060
mulh,2,0.004973,5.060336,84742,85058
div,1,0.003411,5.0593390000000005,83392,85052
div,2,0.003395,5.059043,83385,85060
mem,1,0.009087,5.058131,84361,85058
mem,2,0.009119,5.0581879999999995,84364,85056
ctrl,1,0.00885,5.058641000000001,84262,85060
ctrl,2,0.008842,5.060458000000001,84268,85060
float,1,0.016784,5.059215999999999,84340,85051
float,2,0.016763,5.059145,84334,85056
div,1,0.003441,5.063943,83391,85058
div,2,0.003407,5.063378,83393,85052
